"shoat",1.7953527650428823e-8
"shock",0.000022455899451787818
"shoes",0.000015570898383332456
"shook",0.00002026352877047944
"shoot",0.000010800216763620852
"shore",0.000024743031821777737
"short",0.0001620150436452139
"shout",4.40379399320774e-6
"shove",1.0754125280352739e-6
"showy",1.0193062057821003e-6
"shred",6.0886419181782e-7
"shrew",3.4217560944580336e-7
"shrub",2.79175790895399e-6
"shrug",1.4319728381594903e-6
"shuck",9.819983963526774e-8
"shunt",2.074651050490124e-6
"shush",6.255980473626305e-8
"shyly",5.877536495567756e-7
"sibyl",7.39094835896987e-8
"sidle",5.809562788897444e-8
"siege",6.1366622689375655e-6
"sieve",2.5360709813055153e-6
"sight",0.00004262442107209454
"sigma",7.405501045142908e-7
"silks",1.2253570315581882e-6
"silky",1.3187983594194057e-6
"silly",5.594485019761262e-6
"silty",1.967233438278939e-6
"since",0.0002768756934734387
"sinew",3.8345789343261927e-7
"singe",1.3295015002435492e-7
"sinus",4.040554913267308e-6
"siren",9.5961263247433e-7
"sisal",4.134667782031588e-7
"sitar",6.559988102151372e-8
"sixth",0.00001707307000286068
"sixty",0.000023126390315068042
"sized",0.000010864165573009218
"skate",6.275922457926161e-7
"skeet",6.501875744663198e-8
"skein",3.114875170068457e-7
"skier",2.717511524074172e-7
"skiff",4.5507464376404565e-7
"skill",0.000026522179878901726
"skimp",7.865351340064521e-8
"skint",1.5568658817643265e-8
"skirt",4.537308202306346e-6
"skive",8.99774101834342e-9
"skulk",8.173970640163865e-8
"skull",7.670176158501371e-6
"skunk",4.971793583092674e-7
"slack",3.2444969392124766e-6
"slain",4.703574757069401e-6
"slake",1.8307264444446042e-7
"slang",1.3982341535981153e-6
"slant",1.251996665364447e-6
"slash",1.4526255882335066e-6
"slate",4.822794750776382e-6
"slave",0.000018477268353706284
"sleek",1.2016568083424437e-6
"sleep",0.000037831700624632465
"sleet",6.330643747761096e-7
"slews",1.4345547172316073e-8
"slice",4.158026804594056e-6
"slick",1.3834868155049205e-6
"slide",0.000011553928107801293
"slime",1.2333340306501936e-6
"slimy",7.644735003578754e-7
"sling",1.2355171045217044e-6
"slink",1.461872065983182e-7
"sloop",1.0850607962617777e-6
"slope",0.000018953960178167074
"slops",1.8105517150192453e-7
"slosh",7.800038954024265e-8
"sloth",6.090572230781976e-7
"slump",1.476376144532537e-6
"slurp",6.317926161245306e-8
"slush",4.4850552294903567e-7
"slyly",3.8912703687668147e-7
"smack",9.136569212739381e-7
"small",0.0003324851122609194
"smart",8.299252297181819e-6
"smash",1.223017820392065e-6
"smear",1.4981056198310453e-6
"smell",0.000012106342456468388
"smelt",1.009682502513103e-6
"smile",0.000030468867351392616
"smirk",6.112953238119894e-7
"smite",5.863974630893106e-7
"smith",9.756235911887051e-7
"smock",2.9557621505211363e-7
"smoke",0.00001968829152279558
"smoky",1.2328234435886298e-6
"snack",1.462601938163056e-6
"snafu",2.6432396499258536e-8
"snail",1.4754333838424344e-6
"snake",5.608218816077241e-6
"snaky",8.954508748902912e-8
"snare",1.3171232711913522e-6
"snarl",4.720606904757799e-7
"sneak",1.3382941993135288e-6
"sneer",1.076843752143836e-6
"snick",3.094381942398021e-8
"snide",1.4584177330184777e-7
"sniff",6.942528202273636e-7
"snipe",3.946945407203497e-7
"snips",1.0073179170592124e-7
"snood",3.010739131719174e-8
"snoop",1.0140099141410501e-7
"snoot",2.090804123043764e-8
"snore",2.788959564960676e-7
"snort",5.744607059111677e-7
"snout",1.5813683132049449e-6
"snowy",1.6041822026761062e-6
"snuff",1.3100578157770072e-6
"soapy",3.537191511913321e-7
"sober",4.684867981217514e-6
"softy",2.9797676971847986e-8
"soggy",4.256310569351988e-7
"solar",0.000018020263742444764
"soled",1.9839139646414669e-7
"solid",0.00004554780518816026
"solve",0.000017959610649436658
"sonar",7.325589222583518e-7
"sonic",1.155997601959341e-6
"sonny",1.0172867115729941e-7
"sooth",4.3229985112111233e-7
"sooty",4.5008188081345493e-7
"soppy",3.934778411817205e-8
"sorry",0.000022250301609533415
"sough",5.934525056045782e-8
"sound",0.0000831749415190257
"soupy",5.833171083118059e-8
"souse",5.056947213779352e-8
"south",0.00007123340311245035
"sower",2.211070931599149e-7
"space",0.00011884189717434722
"spade",1.4157495409458001e-6
"spank",1.6312736251341416e-7
"spare",0.00001122106927464745
"spark",5.732386691008149e-6
"spasm",1.7924893886847023e-6
"spate",4.819906361205694e-7
"spawn",1.2136082713376692e-6
"speak",0.00006892252422556277
"spear",3.6114663862133984e-6
"speck",8.530385418506951e-7
"specs",4.898630202896051e-7
"speed",0.00006293231412079776
"spell",7.570791862719178e-6
"spend",0.00002762293160643773
"spent",0.00005577405317278478
"spice",1.4733758242262354e-6
"spicy",9.919375918441595e-7
"spiel",1.0938252113446895e-7
"spiff",7.317113446365214e-9
"spike",2.6442721230353014e-6
"spiky",2.5361539521876785e-7
"spill",3.120410884778627e-6
"spine",8.310254987385166e-6
"spiny",6.857662119832854e-7
"spire",1.4236374954410945e-6
"spite",0.00002734365465756579
"splat",1.0315433912941886e-7
"splay",1.6135614670934195e-7
"split",0.000017649143024333506
"spoil",3.6623502019573505e-6
"spoke",0.00004081526697906484
"spoof",1.5085922075471363e-7
"spook",1.6511379943054604e-7
"spool",9.372509055898938e-7
"spoon",3.2344245956411818e-6
"spoor",1.2346559851589555e-7
"spore",1.7171740705432431e-6
"sport",0.000011800342330897845
"spots",0.000014132708384638562
"spout",1.107989046856742e-6
"sprat",7.698956160585972e-8
"spray",0.000010024246884965
"spree",4.433007911442962e-7
"sprig",3.6405768887079436e-7
"sprog",8.278375682198968e-9
"spume",6.439046832427157e-8
"spunk",1.4175484789066921e-7
"spurn",2.910154293854319e-7
"spurt",6.783667469733351e-7
"squab",8.883387212548924e-8
"squad",2.7585602852711755e-6
"squat",1.001733948647152e-6
"squib",1.2029300502562388e-7
"squid",7.848037730673447e-7
"stack",6.703485598771516e-6
"staff",0.00008324564045207861
"stage",0.00008949778206230553
"stagy",2.3460394549671972e-8
"staid",9.738074773337632e-7
"stain",4.988753824986781e-6
"stair",1.6394681019648986e-6
"stake",8.518619073388975e-6
"stale",2.0636831023559395e-6
